IN CSSE but NOT IN WPOP,--------
Cruise Ship
Congo (Brazzaville)
Vatican City
Reunion
Republic of the Congo
Czech Republic
Palestine
occupied Palestinian territory
"Korea, South"
Republic of Moldova
Taipei and environs
Others
UK
Czechia
Faroe Islands
Saint Kitts and Nevis
Curacao
Macau
Burma
St. Martin
Iran (Islamic Republic of)
North Ireland
Mainland China
Ivory Coast
"Bahamas, The"
West Bank and Gaza
"Gambia, The"
MS Zaandam
Guernsey
The Bahamas
Russian Federation
Viet Nam
Diamond Princess
Taiwan*
The Gambia
Kosovo
US
East Timor
Macao SAR
Cote d'Ivoire
Cape Verde
Republic of Korea
Congo (Kinshasa)
Saint Vincent and the Grenadines
Hong Kong SAR
Republic of Ireland
Jersey
IN WPOP but NOT IN CSSE,--------
Tokelau
St. Vincent & Grenadines
Northern Mariana Islands
Cook Islands
Western Sahara
British Virgin Islands
U.S. Virgin Islands
Faeroe Islands
Réunion
Samoa
Tajikistan
Côte d'Ivoire
Myanmar
Sao Tome & Principe
DR Congo
Congo
Vanuatu
Nauru
Yemen
Sierra Leone
Marshall Islands
Curaçao
Anguilla
Falkland Islands
Wallis & Futuna
Saint Kitts & Nevis
Niue
Botswana
American Samoa
Turkmenistan
Malawi
Saint Pierre & Miquelon
Czech Republic (Czechia)
Micronesia
Montserrat
Comoros
Saint Helena
Solomon Islands
Turks and Caicos
Sint Maarten
Burundi
Caribbean Netherlands
New Caledonia
Tonga
Lesotho
Kiribati
Tuvalu
Macao
South Sudan
French Polynesia
North Korea
United States
Palau
Isle of Man
Bermuda
State of Palestine
